,Unnamed: 0,type,model_0,model_0,model_0,model_0,model_0,model_1,model_1,model_1,model_1,model_1,model_3,model_3,model_3,model_3,model_3,model_4,model_4,model_4,model_4,model_4,model_5,model_5,model_5,model_5,model_5
,,,Text Coherence,Academic Language Style,Use of Arguments,Use of Sources,Logic,Text Coherence,Academic Language Style,Use of Arguments,Use of Sources,Logic,Text Coherence,Academic Language Style,Use of Arguments,Use of Sources,Logic,Text Coherence,Academic Language Style,Use of Arguments,Use of Sources,Logic,Text Coherence,Academic Language Style,Use of Arguments,Use of Sources,Logic
0,0,bad,65,75,70,60,68,80,85,75,70,80,70,75,80,65,85,60,70,80,50,75,65,75,80,70,80
1,1,bad,85,80,75,90,88,90,85,80,75,85,85,90,80,85,85,90,85,80,90,85,85,90,80,95,85
2,2,bad,88,78,82,72,85,85,90,80,70,85,85,90,80,85,90,80,90,85,70,85,85,90,75,85,80
3,3,bad,75,65,80,55,78,65,70,80,60,75,75,60,80,70,85,75,80,70,60,80,70,60,80,40,85
4,4,bad,85,78,90,82,88,85,80,90,75,85,90,85,95,80,90,90,85,95,75,90,90,85,95,80,90
5,5,good,88,92,85,90,87,85,90,80,75,85,95,90,85,90,90,90,95,85,90,95,90,95,85,90,95
6,6,good,82,88,75,90,85,80,90,85,75,85,90,85,80,90,85,80,90,85,75,85,85,90,80,90,95
7,7,good,78,85,72,75,80,85,90,80,70,85,85,90,80,75,85,85,90,80,75,85,80,90,75,85,85
8,8,good,90,85,80,95,88,85,90,80,70,85,90,85,80,90,85,90,100,80,70,95,90,80,80,90,85
9,9,good,75,80,85,90,78,85,80,75,70,90,85,90,80,85,85,85,90,85,75,80,80,85,75,80,70
10,10,good,92,87,78,89,84,95,90,85,80,85,90,85,95,90,90,90,95,80,90,85,85,90,95,90,90
