,type,model_0,model_1,model_3,model_4,model_5
0,bad,"{'Text Coherence': 65, 'Academic Language Style': 72, 'Use of Arguments': 78, 'Use of Sources': 60, 'Logic': 70}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 75, 'Academic Language Style': 80, 'Use of Arguments': 70, 'Use of Sources': 60, 'Logic': 80}","{'Text Coherence': 60, 'Academic Language Style': 75, 'Use of Arguments': 65, 'Use of Sources': 40, 'Logic': 70}","{'Text Coherence': 70, 'Academic Language Style': 60, 'Use of Arguments': 75, 'Use of Sources': 50, 'Logic': 80}"
1,bad,"{'Text Coherence': 88, 'Academic Language Style': 82, 'Use of Arguments': 75, 'Use of Sources': 90, 'Logic': 83}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 88, 'Academic Language Style': 92, 'Use of Arguments': 85, 'Use of Sources': 90, 'Logic': 87}","{'Text Coherence': 80, 'Academic Language Style': 90, 'Use of Arguments': 85, 'Use of Sources': 90, 'Logic': 85}"
2,bad,"{'Text Coherence': 80, 'Academic Language Style': 85, 'Use of Arguments': 75, 'Use of Sources': 70, 'Logic': 78}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 70, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 80, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 75, 'Use of Sources': 80, 'Logic': 85}"
3,bad,"{'Text Coherence': 75, 'Academic Language Style': 80, 'Use of Arguments': 85, 'Use of Sources': 70, 'Logic': 90}","{'Text Coherence': 70, 'Academic Language Style': 60, 'Use of Arguments': 80, 'Use of Sources': 50, 'Logic': 75}","{'Text Coherence': 85, 'Academic Language Style': 70, 'Use of Arguments': 80, 'Use of Sources': 60, 'Logic': 90}","{'Text Coherence': 70, 'Academic Language Style': 60, 'Use of Arguments': 80, 'Use of Sources': 40, 'Logic': 90}","{'Text Coherence': 70, 'Academic Language Style': 60, 'Use of Arguments': 80, 'Use of Sources': 50, 'Logic': 90}"
4,bad,"{'Text Coherence': 82, 'Academic Language Style': 78, 'Use of Arguments': 90, 'Use of Sources': 85, 'Logic': 88}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 95, 'Use of Sources': 80, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 70, 'Logic': 75}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 85, 'Use of Sources': 75, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 90}"
5,good,"{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 95, 'Logic': 88}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 95, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 85, 'Use of Sources': 90, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 95, 'Use of Sources': 90, 'Logic': 90}","{'Text Coherence': 90, 'Academic Language Style': 80, 'Use of Arguments': 85, 'Use of Sources': 90, 'Logic': 95}"
6,good,"{'Text Coherence': 84, 'Academic Language Style': 76, 'Use of Arguments': 90, 'Use of Sources': 92, 'Logic': 88}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 70, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 95, 'Use of Sources': 90, 'Logic': 90}","{'Text Coherence': 80, 'Academic Language Style': 90, 'Use of Arguments': 85, 'Use of Sources': 70, 'Logic': 95}","{'Text Coherence': 80, 'Academic Language Style': 90, 'Use of Arguments': 85, 'Use of Sources': 90, 'Logic': 85}"
7,good,"{'Text Coherence': 78, 'Academic Language Style': 85, 'Use of Arguments': 72, 'Use of Sources': 60, 'Logic': 80}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 80, 'Academic Language Style': 90, 'Use of Arguments': 85, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 75, 'Use of Sources': 80, 'Logic': 85}"
8,good,"{'Text Coherence': 92, 'Academic Language Style': 87, 'Use of Arguments': 75, 'Use of Sources': 90, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 90, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 95, 'Use of Arguments': 85, 'Use of Sources': 80, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 95, 'Logic': 90}"
9,good,"{'Text Coherence': 78, 'Academic Language Style': 85, 'Use of Arguments': 76, 'Use of Sources': 82, 'Logic': 80}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 75, 'Use of Sources': 80, 'Logic': 85}","{'Text Coherence': 80, 'Academic Language Style': 85, 'Use of Arguments': 75, 'Use of Sources': 90, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 80, 'Academic Language Style': 75, 'Use of Arguments': 85, 'Use of Sources': 80, 'Logic': 85}"
